,Return,Volatility,VGSH,AAPL,VOO,AMZN
2502,0.17751729475754563,0.17578208626925473,0.3210421714372502,0.3279218577985752,0.21895871743824152,0.13207725332593312
915,0.17050300055974904,0.17578585471794053,0.3334715851596817,0.24422891977207659,0.1361787760025603,0.2861207190656815
348,0.1562134990893572,0.1757915318746673,0.25144986939871966,0.14624589069059438,0.3679846268686604,0.23431961304202553
1415,0.18514200181243837,0.17581387184418354,0.37167221623795993,0.3880797480332281,0.0908569960300993,0.14939103969871284
1221,0.17438125438913513,0.1758810829338976,0.31152162928911953,0.289801977759409,0.21975466577594774,0.17892172717552357
670,0.1783403077322869,0.17593923384384688,0.38933939181679267,0.31060610692426355,0.0023034802541199648,0.2977510210048239
2026,0.1618807044073521,0.17599958574484212,0.2639734729813636,0.18880291103532787,0.33405334945889453,0.21317026652441387
193,0.15302136510754624,0.17602998168554107,0.28841777574485516,0.11116773551990414,0.254431661230011,0.3459828275052298
1670,0.14891485428709553,0.1760305958253225,0.22992422966506829,0.09553661250315368,0.43258399630934585,0.2419551615224321
351,0.16126858512289605,0.176049183753098,0.2775885997717599,0.17550447654497756,0.2842684769359498,0.26263844674731274
180,0.16106066993763318,0.17605191028695566,0.2704680350348853,0.1765818688764226,0.3072100584682639,0.24574003762042826
2681,0.13690847407383622,0.17611310931048252,0.2529156079634938,0.0041773573845118135,0.3743593091042322,0.368547725547762
117,0.15988573162839623,0.17617925824288022,0.245813322932137,0.1861950312923008,0.402520779035502,0.16547086674006034
1261,0.1737145879743991,0.17632464570884648,0.2956532977910115,0.3184987683795671,0.31806319876655326,0.06778473506286804
1122,0.14415665333995986,0.17635792050078122,0.20925505550877505,0.06962384442992807,0.503964831229929,0.21715626883136785
2644,0.17269955464886716,0.17638502393064373,0.293023907295,0.283206781436413,0.27827120877681066,0.14549810249177628
2396,0.1607446538754163,0.17641523651948268,0.329990304148549,0.16595394355026535,0.13937518370941854,0.3646805685917672
601,0.16528646794458673,0.17641839803996295,0.26573100226815033,0.2197707666648831,0.3377156753036959,0.17678255576327054
1197,0.1481147051611662,0.17641893321492463,0.27554525474529606,0.0756911992095427,0.2913777002021463,0.35738584584301497
2556,0.17038712360577815,0.1764306999128211,0.2903592141050462,0.25352979661103053,0.26493712595035396,0.1911738633335692
2032,0.1632116034319567,0.17646424296263538,0.32155830303840266,0.1831219198940344,0.15821200217005846,0.33710777489750443
1694,0.16742226131743718,0.1764657242804276,0.2669145482681025,0.2529186144326962,0.3630543289066579,0.11711250839254342
347,0.17174191979179398,0.17646752202561075,0.3106169837520006,0.2551625870114246,0.1977102020403812,0.23651022719619363
184,0.1855203288713949,0.17657448641015447,0.3683115075396193,0.3847139540649133,0.08893223546127203,0.15804230293419544
62,0.17011338967080353,0.17663985798897563,0.29742410329871677,0.2434370474278791,0.23312638208563033,0.22601246718777376
2766,0.17045399294201333,0.17675728663278426,0.31515813105615487,0.23985923362493886,0.17677671505249448,0.26820592026641177
26,0.14434856217528955,0.17677684011548261,0.23549005517761135,0.05316946142088615,0.4057505023268173,0.3055899810746852
464,0.1832667199342988,0.17684275425235732,0.3448230799270494,0.4007420574563651,0.20610658332299084,0.048328279293594706
1405,0.1838702882728041,0.17689669658211585,0.35514491051988517,0.42505387583645576,0.21275106492722903,0.0070501487164300785
776,0.18404407903938383,0.17693990626933798,0.35450427300121684,0.3689108234544639,0.1170520375241143,0.15953286602020478
1258,0.16045212971522138,0.1769637805510387,0.24105367233745986,0.23302659281927368,0.48679748072100554,0.039122254122260905
2161,0.15858012300528682,0.17701705871824436,0.2710696135081707,0.14889170399150453,0.2909781581901054,0.28906052431021934
1059,0.15741977738242197,0.17702311590167238,0.23897795183679185,0.1556891089062875,0.4005634929235031,0.20476944633341765
1602,0.17889204130820038,0.17705063553363223,0.3301723449814579,0.3165542215410691,0.15823035121282275,0.19504308226465011
525,0.15670659973536544,0.1770708465617461,0.3796333449851326,0.1457100634871238,0.029158528887306794,0.4454980626404368
455,0.16315403977393142,0.1770787539382233,0.24595972018345433,0.22953600642380662,0.4330938966099295,0.0914103767828096
2512,0.17040419354254346,0.17721115993597536,0.33821626736211036,0.23514538298976534,0.10980545306377208,0.31683289658435226
118,0.19235176120257721,0.17723348963747287,0.40944143034961616,0.45580233751226,0.014220789294261857,0.12053544284386203
524,0.19278764610774116,0.17724452580957709,0.4137466623473669,0.4595799271928197,0.003822176188270123,0.12285123427154336
97,0.14177791690564825,0.17732220780560223,0.2547293553786451,0.030068727117943717,0.3502614930716452,0.364940424431766
